ISO6393	Status	Pop.Size	simp.status
afn	"Severely Endangered (40 percent certain, based on the evidence available)"	<200	severely_endangered
mzw	"Vulnerable (20 percent certain, based on the evidence available)"	"27,500"	vulnerable
ing	"Severely Endangered (20 percent certain, based on the evidence available)"	14	severely_endangered
row	"Vulnerable (80 percent certain, based on the evidence available)"	"7,000"	vulnerable
dem	"Threatened (20 percent certain, based on the evidence available)"	"1,000"	threatened
dei; demi1242	"Endangered (20 percent certain, based on the evidence available)"	450	endangered
1at	Dormant ()	0	dormant
tfn	"Critically Endangered (100 percent certain, based on the evidence available)"	50	critically_endangered
xsl	"Threatened (60 percent certain, based on the evidence available)"	~3260	threatened
chp	"Threatened (20 percent certain, based on the evidence available)"	2235?	threatened
ptp-den	"Endangered (40 percent certain, based on the evidence available)"	140	endangered
dny	"Threatened (20 percent certain, based on the evidence available)"	~1200	threatened
anv	"Vulnerable (20 percent certain, based on the evidence available)"	">11,200"	vulnerable
der	"Threatened (40 percent certain, based on the evidence available)"	"28,000"	threatened
kbv	"Threatened (60 percent certain, based on the evidence available)"	"1,200"	threatened
des	"Endangered (20 percent certain, based on the evidence available)"	~450	
	endangered		
dee	"Threatened (20 percent certain, based on the evidence available)"	"8,100"	threatened
dhs	"Threatened (20 percent certain, based on the evidence available)"	"5,000"	threatened
dyn	Awakening ()		awakening
dhg	"Endangered (20 percent certain, based on the evidence available)"	<350	endangered
dhw	"Threatened (40 percent certain, based on the evidence available)"	"23,721"	threatened
nfa	"Threatened (20 percent certain, based on the evidence available)"	"~3,000"	threatened
tbh	"Critically Endangered (20 percent certain, based on the evidence available)"	4	critically_endangered
xdk	Awakening ()		awakening
xgm	Awakening ()		awakening
dax	"Critically Endangered (20 percent certain, based on the evidence available)"	3	critically_endangered
dhi	"Endangered (40 percent certain, based on the evidence available)"	"Approximately 20,000"	endangered
dhx	Dormant ()	0	dormant
dhu	Awakening ()		awakening
"duj, djr"	"Threatened (20 percent certain, based on the evidence available)"	"3,044"	threatened
"guf, gnn"	"Endangered (20 percent certain, based on the evidence available)"	321	endangered
pah-dia	"Critically Endangered (80 percent certain, based on the evidence available)"	4	critically_endangered
dby	"Threatened (20 percent certain, based on the evidence available)"	1950	threatened
bvx	"Threatened (20 percent certain, based on the evidence available)"	3000	threatened
mhu	"Threatened (20 percent certain, based on the evidence available)"	"~6,000"	threatened
dtd	"Critically Endangered (80 percent certain, based on the evidence available)"	5	critically_endangered
dil	"Threatened (20 percent certain, based on the evidence available)"	"5,300"	threatened
dis	"At risk (20 percent certain, based on the evidence available)"	"112,000"	at_risk
dii	"Threatened (60 percent certain, based on the evidence available)"	<150	threatened
dim	"Threatened (20 percent certain, based on the evidence available)"	"~5,000"	threatened
diq	"Vulnerable (40 percent certain, based on the evidence available)"	"1,000,000"	vulnerable
nav	"At risk (20 percent certain, based on the evidence available)"	"120,000"	at_risk
	"Endangered (20 percent certain, based on the evidence available)"	~500	endangered
diy	"Endangered (20 percent certain, based on the evidence available)"	100	endangered
"dif, dit"	"Severely Endangered (20 percent certain, based on the evidence available)"	~12	severely_endangered
dyy	"Critically Endangered (20 percent certain, based on the evidence available)"	3	critically_endangered
tjw	"Critically Endangered (20 percent certain, based on the evidence available)"	7	critically_endangered
djf	Dormant ()	0	dormant
dji	"Endangered (20 percent certain, based on the evidence available)"	~200	endangered
djb	"Severely Endangered (20 percent certain, based on the evidence available)"	60-90	severely_endangered
wmt-dju	"Critically Endangered (20 percent certain, based on the evidence available)"	NA	critically_endangered
doe	"Vulnerable (20 percent certain, based on the evidence available)"	"~24,000"	vulnerable
dgg; doga1238	"Endangered (100 percent certain, based on the evidence available)"	120	endangered
dgr	"Endangered (100 percent certain, based on the evidence available)"	"2,470"	endangered
dbg	"Vulnerable (20 percent certain, based on the evidence available)"	"15,700"	vulnerable
dbi	"Vulnerable (20 percent certain, based on the evidence available)"	"11,400"	vulnerable
uya	"Endangered (20 percent certain, based on the evidence available)"	200	endangered
dlg	"Threatened (60 percent certain, based on the evidence available)"	"5,500"	threatened
dre	"Threatened (20 percent certain, based on the evidence available)"	"~5,000"	threatened
dmk	"Severely Endangered (100 percent certain, based on the evidence available)"	350	severely_endangered
dov	"Threatened (20 percent certain, based on the evidence available)"	"5,430"	threatened
doy	"Severely Endangered (20 percent certain, based on the evidence available)"	60	severely_endangered
dok	"Threatened (40 percent certain, based on the evidence available)"	~13000	threatened
doh	"Threatened (20 percent certain, based on the evidence available)"	"5,000"	threatened
sce	"Vulnerable (20 percent certain, based on the evidence available)"	"200,000"	vulnerable
wwo	"Endangered (20 percent certain, based on the evidence available)"	300	endangered
tds; dout1240	"Severely Endangered (20 percent certain, based on the evidence available)"	70	severely_endangered
duu	"Vulnerable (100 percent certain, based on the evidence available)"	~7000	vulnerable
dup	"Endangered (40 percent certain, based on the evidence available)"		endangered
dmu	"Endangered (40 percent certain, based on the evidence available)"	130	endangered
1hv	"Endangered (100 percent certain, based on the evidence available)"	100	endangered
dbo	"Severely Endangered (20 percent certain, based on the evidence available)"	80	severely_endangered
dus	"Critically Endangered (100 percent certain, based on the evidence available)"	<8	critically_endangered
dmv	"Endangered (20 percent certain, based on the evidence available)"	"<1,100?"	endangered
dui	"Severely Endangered (20 percent certain, based on the evidence available)"	40	severely_endangered
yoi	"Severely Endangered (100 percent certain, based on the evidence available)"	~400	severely_endangered
dng	"Vulnerable (100 percent certain, based on the evidence available)"	~100000	vulnerable
raa	"Threatened (20 percent certain, based on the evidence available)"	"4,609"	threatened
dbv	"Threatened (20 percent certain, based on the evidence available)"	"1,100"	threatened
	"Critically Endangered (80 percent certain, based on the evidence available)"	9	critically_endangered
duo	"Threatened (60 percent certain, based on the evidence available)"	"~1,400"	threatened
dbn; duri1243	"Severely Endangered (20 percent certain, based on the evidence available)"	30	severely_endangered
pci	"Vulnerable (20 percent certain, based on the evidence available)"	"51,200"	vulnerable
dsn	"Critically Endangered (80 percent certain, based on the evidence available)"	6	critically_endangered
dse	"Vulnerable (20 percent certain, based on the evidence available)"	"20,000"	vulnerable
wkw-duu	Dormant 	0	dormant
gve	"Endangered (60 percent certain, based on the evidence available)"	300	endangered
nnu	"Threatened (20 percent certain, based on the evidence available)"	"8,200"	threatened
knm	"Threatened (20 percent certain, based on the evidence available)"	~1650	threatened
	"Severely Endangered (80 percent certain, based on the evidence available)"	~100	severely_endangered
dbl	"Critically Endangered (100 percent certain, based on the evidence available)"	6	critically_endangered
dzn	"Threatened (20 percent certain, based on the evidence available)"	"6,000"	threatened
yzg	"Endangered (20 percent certain, based on the evidence available)"	300	endangered
crl	"Vulnerable (80 percent certain, based on the evidence available)"	"12,000"	vulnerable
wls	"Threatened (100 percent certain, based on the evidence available)"	20000	threatened
yuy	"Vulnerable (20 percent certain, based on the evidence available)"	"4,000"	vulnerable
"mab, mil, mqh, mtx, mxs, mxy, vmm, vmx, xtd, xtp, xts"	"Vulnerable (20 percent certain, based on the evidence available)"	"24,244"	vulnerable
aer	"Threatened (20 percent certain, based on the evidence available)"	"3,820"	threatened
bru	"Vulnerable (20 percent certain, based on the evidence available)"	"82,300"	vulnerable
bxm	"Vulnerable (80 percent certain, based on the evidence available)"	">300,000"	vulnerable
cjm	"Vulnerable (100 percent certain, based on the evidence available)"	"100,000"	vulnerable
ctz	"Threatened (20 percent certain, based on the evidence available)"	"1,000"	threatened
ggn	"Threatened (100 percent certain, based on the evidence available)"	"325,000"	threatened
1ok	"Critically Endangered (60 percent certain, based on the evidence available)"	~480	critically_endangered
1nu	"Severely Endangered (80 percent certain, based on the evidence available)"	<500	severely_endangered
mhr	"Vulnerable (60 percent certain, based on the evidence available)"	"500,000"	vulnerable
emg	"Severely Endangered (40 percent certain, based on the evidence available)"	904	severely_endangered
azz	"At risk (20 percent certain, based on the evidence available)"	"125,000"	at_risk
ojg	"Threatened (20 percent certain, based on the evidence available)"	"1,500"	threatened
pez	"Threatened (80 percent certain, based on the evidence available)"	"<10,000"	threatened
peb			
ydd	"At risk (20 percent certain, based on the evidence available)"	">1,200,000"	at_risk
ebg	"Threatened (20 percent certain, based on the evidence available)"	">5,000"	threatened
ecs	"At risk (20 percent certain, based on the evidence available)"	"231,000"	at_risk
qt8	Dormant ()	0	dormant
afu-efu	"Threatened (100 percent certain, based on the evidence available)"	"<20,000"	threatened
ega	"Severely Endangered (40 percent certain, based on the evidence available)"	<1000	severely_endangered
eit	"Endangered (20 percent certain, based on the evidence available)"	394	endangered
eja	"Vulnerable (20 percent certain, based on the evidence available)"	25000	vulnerable
eke	"Vulnerable (20 percent certain, based on the evidence available)"	"~200,000"	vulnerable
elh	"Severely Endangered (20 percent certain, based on the evidence available)"	50	severely_endangered
elo	Dormant ()		dormant
ele	"Endangered (20 percent certain, based on the evidence available)"	149	endangered
elk	"Threatened (20 percent certain, based on the evidence available)"	"1,640"	threatened
elot1235	"Threatened (20 percent certain, based on the evidence available)"	5070	threatened
mrf	"Endangered (20 percent certain, based on the evidence available)"	300	endangered
elu	"Endangered (20 percent certain, based on the evidence available)"	220	
	endangered		
mmw	"Endangered (20 percent certain, based on the evidence available)"	400	endangered
emn	"Endangered (20 percent certain, based on the evidence available)"	800	endangered
cto	"Vulnerable (20 percent certain, based on the evidence available)"	"88,747"	vulnerable
eme	"Endangered (20 percent certain, based on the evidence available)"	400	endangered
"zmr, amy"	"Critically Endangered (100 percent certain, based on the evidence available)"	15	critically_endangered
emw	"Endangered (40 percent certain, based on the evidence available)"	250	endangered
enr	"Threatened (20 percent certain, based on the evidence available)"	"~1,100"	threatened
enc	"Endangered (20 percent certain, based on the evidence available)"	200	endangered
unk	"Endangered (20 percent certain, based on the evidence available)"	445	endangered
tmf	"Threatened (20 percent certain, based on the evidence available)"	"1,275"	threatened
eno	"Threatened (40 percent certain, based on the evidence available)"	"1,000"	threatened
enl	"Threatened (20 percent certain, based on the evidence available)"	7500	threatened
enw	"Vulnerable (20 percent certain, based on the evidence available)"	"15,000"	vulnerable
enx	"Threatened (100 percent certain, based on the evidence available)"	"3,627"	threatened
1j0	Awakening ()		awakening
sja	"Vulnerable (20 percent certain, based on the evidence available)"	"88,800"	vulnerable
erh	"Severely Endangered (80 percent certain, based on the evidence available)"	~850	severely_endangered
erw	"Endangered (80 percent certain, based on the evidence available)"	250	endangered
err	"Critically Endangered (20 percent certain, based on the evidence available)"	1	critically_endangered
ers	"Threatened (100 percent certain, based on the evidence available)"	~13000	threatened
myv	"Threatened (80 percent certain, based on the evidence available)"	"~250,000"	threatened
ese	"Vulnerable (100 percent certain, based on the evidence available)"	1680	vulnerable
esh		NA	
eso	"Threatened (20 percent certain, based on the evidence available)"	"4,500"	threatened
etb	"Vulnerable (20 percent certain, based on the evidence available)"	"15,000"	vulnerable
"maza1294, teja1235"	"Threatened (20 percent certain, based on the evidence available)"	"1,276"	threatened
etn	"Endangered (20 percent certain, based on the evidence available)"	500	endangered
eude1234	Dormant ()	0	dormant
bzz	"Vulnerable (20 percent certain, based on the evidence available)"	"11,000"	vulnerable
eve	"Severely Endangered (80 percent certain, based on the evidence available)"	"~7,000"	severely_endangered
evn	"Endangered (80 percent certain, based on the evidence available)"	"~10,000"	endangered
coo	"Critically Endangered (80 percent certain, based on the evidence available)"	78	critically_endangered
eya	Awakening ()		awakening
wti-fad	"Threatened (20 percent certain, based on the evidence available)"	"8,715"	threatened
faf	"Endangered (20 percent certain, based on the evidence available)"	900	endangered
azt	"Endangered (20 percent certain, based on the evidence available)"	400	endangered
fai	"Threatened (20 percent certain, based on the evidence available)"	"4,500"	threatened
cfm	"Vulnerable (80 percent certain, based on the evidence available)"	"107,300"	vulnerable
fah	"Critically Endangered (20 percent certain, based on the evidence available)"	NA	critically_endangered
fam	"Endangered (20 percent certain, based on the evidence available)"	<500	endangered
fak	"Threatened (20 percent certain, based on the evidence available)"	4000	threatened
	"Severely Endangered (20 percent certain, based on the evidence available)"	100	severely_endangered
nrg	"Endangered (20 percent certain, based on the evidence available)"	160	endangered
	"Endangered (20 percent certain, based on the evidence available)"	~500	endangered
fqs	"Threatened (20 percent certain, based on the evidence available)"	"5,000"	threatened
faa	"Threatened (20 percent certain, based on the evidence available)"	1200	threatened
fau	"Threatened (80 percent certain, based on the evidence available)"	400	threatened
agl	"Endangered (20 percent certain, based on the evidence available)"	350	endangered
qb8	"Threatened (40 percent certain, based on the evidence available)"	"14,280"	threatened
fse	"Threatened (20 percent certain, based on the evidence available)"	"5,000"	threatened
fss	"Endangered (20 percent certain, based on the evidence available)"	150	endangered
fir	"Vulnerable (60 percent certain, based on the evidence available)"	~3000	vulnerable
vgt	"Threatened (20 percent certain, based on the evidence available)"	"6,000"	threatened
fln	"Critically Endangered (20 percent certain, based on the evidence available)"	3	critically_endangered
flh	"Endangered (20 percent certain, based on the evidence available)"	230	endangered
fgr	"Critically Endangered (60 percent certain, based on the evidence available)"	NA	critically_endangered
enf	"Severely Endangered (20 percent certain, based on the evidence available)"	~10	severely_endangered
yrk-for	"Endangered (60 percent certain, based on the evidence available)"		endangered
frp	"Endangered (60 percent certain, based on the evidence available)"	"130,000"	endangered
fur	"Threatened (100 percent certain, based on the evidence available)"	"600,412"	threatened
bfm-fun	"Threatened (20 percent certain, based on the evidence available)"	"1,000"	threatened
pym	"Endangered (100 percent certain, based on the evidence available)"	"<14,000?"	endangered
ttb	"Threatened (20 percent certain, based on the evidence available)"	"<10,000"	threatened
gdk	"Threatened (20 percent certain, based on the evidence available)"	"2,500"	threatened
gbk	"At risk (20 percent certain, based on the evidence available)"	"120,000"	at_risk
gag	"Vulnerable (80 percent certain, based on the evidence available)"	"~200,000"	vulnerable
gbu	Dormant ()	0	dormant
bfu	"Threatened (100 percent certain, based on the evidence available)"	3500	threatened
gbf	"Endangered (20 percent certain, based on the evidence available)"	~650	endangered
gdh	"Critically Endangered (20 percent certain, based on the evidence available)"	<3	critically_endangered
fra-gal	"Threatened (60 percent certain, based on the evidence available)"	200000	threatened
sdn	"At risk (20 percent certain, based on the evidence available)"	"100,000"	at_risk
adl	"Vulnerable (100 percent certain, based on the evidence available)"	30000	vulnerable
gal	"Vulnerable (20 percent certain, based on the evidence available)"	"13,000"	vulnerable
siu	"Endangered (20 percent certain, based on the evidence available)"	208	endangered
kgj	"Vulnerable (20 percent certain, based on the evidence available)"	"30,000"	vulnerable
gma	"Critically Endangered (20 percent certain, based on the evidence available)"	6	critically_endangered
kld	"Critically Endangered (20 percent certain, based on the evidence available)"		critically_endangered
gnq	"Endangered (20 percent certain, based on the evidence available)"	"1,000"	endangered
gcd	"Critically Endangered (20 percent certain, based on the evidence available)"	1	critically_endangered
gnb	"Vulnerable (20 percent certain, based on the evidence available)"	"15,100"	vulnerable
kcx-gan	"Severely Endangered (20 percent certain, based on the evidence available)"	<50	severely_endangered
peh	"Threatened (40 percent certain, based on the evidence available)"	10000	threatened
gza	"Threatened (20 percent certain, based on the evidence available)"	"5,400"	threatened
gnz	"Threatened (20 percent certain, based on the evidence available)"	"1,400"	threatened
gga	"Threatened (100 percent certain, based on the evidence available)"	~900	threatened
gqu	"Severely Endangered (100 percent certain, based on the evidence available)"	"<6,000 (including speakers of all the Gelao languages)"	severely_endangered
1h9	"Severely Endangered (60 percent certain, based on the evidence available)"	300	severely_endangered
gbm	"Vulnerable (80 percent certain, based on the evidence available)"	"2,920,000"	vulnerable
cab	"At risk (20 percent certain, based on the evidence available)"	"~100,000"	at_risk
ilg-gar	"Critically Endangered (20 percent certain, based on the evidence available)"	4	critically_endangered
gll	Dormant ()	0	dormant
	"Severely Endangered (80 percent certain, based on the evidence available)"	10	severely_endangered
grt	"Vulnerable (80 percent certain, based on the evidence available)"	"700,000"	vulnerable
gex	"Vulnerable (20 percent certain, based on the evidence available)"	"57,500"	vulnerable
wrk	"Severely Endangered (100 percent certain, based on the evidence available)"	59	severely_endangered
oci-gsc	"At risk (20 percent certain, based on the evidence available)"	"250,000"	at_risk
kcx	"Threatened (20 percent certain, based on the evidence available)"	"~1,000"	threatened
gvo			
gvp			
gwt	"Vulnerable (80 percent certain, based on the evidence available)"	8000	vulnerable
0h5	Dormant ()	0?	dormant
gzi	"Threatened (20 percent certain, based on the evidence available)"	"7,030"	threatened
gbg	"Vulnerable (20 percent certain, based on the evidence available)"	"17,500"	vulnerable
krs	"Vulnerable (20 percent certain, based on the evidence available)"		vulnerable
gyg	"Threatened (20 percent certain, based on the evidence available)"	"~5,000"	threatened
ggb	"Threatened (20 percent certain, based on the evidence available)"	"5,600"	threatened
gei; gebe1237	"Threatened (20 percent certain, based on the evidence available)"	"2,000"	threatened
gji	"Threatened (20 percent certain, based on the evidence available)"	"1,000"	threatened
geq	"Endangered (20 percent certain, based on the evidence available)"	550	endangered
gea	"Threatened (20 percent certain, based on the evidence available)"	4700	threatened
gev	"Severely Endangered (100 percent certain, based on the evidence available)"	<400	severely_endangered
gha	"Threatened (20 percent certain, based on the evidence available)"	"4,000"	threatened
gdo	"Endangered (80 percent certain, based on the evidence available)"	2500	endangered
gho	"Threatened (80 percent certain, based on the evidence available)"	"~10,000"	threatened
gib		0	
"gia, kitj1240"	"Critically Endangered (100 percent certain, based on the evidence available)"	12	critically_endangered
dbl-gir	"Severely Endangered (20 percent certain, based on the evidence available)"	10	severely_endangered
gih	Awakening ()		awakening
git	"Severely Endangered (80 percent certain, based on the evidence available)"	255	severely_endangered
giy	"Critically Endangered (20 percent certain, based on the evidence available)"	2	critically_endangered
tof	"Threatened (20 percent certain, based on the evidence available)"	"1,050"	threatened
gnu	"Endangered (20 percent certain, based on the evidence available)"	980	endangered
lja	"Severely Endangered (20 percent certain, based on the evidence available)"		severely_endangered
goe	"Threatened (20 percent certain, based on the evidence available)"	"~1,000"	threatened
gni	"Severely Endangered (80 percent certain, based on the evidence available)"	~100	severely_endangered
goq	"Endangered (40 percent certain, based on the evidence available)"	"1,000"	endangered
xgg	Awakening ()		awakening
grq	"Critically Endangered (40 percent certain, based on the evidence available)"	<20	critically_endangered
pcj	"Endangered (60 percent certain, based on the evidence available)"	750	endangered
goro1270	"Threatened (100 percent certain, based on the evidence available)"	"132,748"	threatened
goy	"Critically Endangered (60 percent certain, based on the evidence available)"	20	critically_endangered
gwf	"Threatened (20 percent certain, based on the evidence available)"	1000	threatened
goz		NA	
nli	"Threatened (20 percent certain, based on the evidence available)"	"5,000"	threatened
kbk	"Threatened (20 percent certain, based on the evidence available)"	"1,700"	threatened
giq	"Severely Endangered (100 percent certain, based on the evidence available)"	"<6,000 (including speakers of all the Gelao languages)"	severely_endangered
	"Severely Endangered (100 percent certain, based on the evidence available)"	"20,500"	severely_endangered
ats	Awakening ()		awakening
gaq	"Threatened (20 percent certain, based on the evidence available)"	"Approximately 3,000"	threatened
gvj			
gub	"Vulnerable (20 percent certain, based on the evidence available)"	"14,000"	vulnerable
guh			
guc	"Vulnerable (100 percent certain, based on the evidence available)"	"~312,730"	vulnerable
mbp	"Threatened (20 percent certain, based on the evidence available)"	"1,922"	threatened
gum			
gqn	Dormant ()	NA	dormant
gva	"Critically Endangered (80 percent certain, based on the evidence available)"	NA	critically_endangered
gyr	"Threatened (20 percent certain, based on the evidence available)"	"8,433"	threatened
gae	"Endangered (20 percent certain, based on the evidence available)"	180	endangered
var	"Threatened (20 percent certain, based on the evidence available)"	"2,136"	threatened
gsm	"Threatened (100 percent certain, based on the evidence available)"	28000	threatened
gta	"Critically Endangered (80 percent certain, based on the evidence available)"	5	critically_endangered
gut			
guo			
gym			
qda	Dormant ()	0	dormant
gbw	Dormant ()	0? There are still some partial speakers. 	dormant
wrg	Awakening ()		awakening
fra-dge	"Endangered (20 percent certain, based on the evidence available)"	200	endangered
amu	"Vulnerable (20 percent certain, based on the evidence available)"		vulnerable
"mim, mxv, xta, xty"	"Vulnerable (20 percent certain, based on the evidence available)"	"97,200"	vulnerable
gdc	"Critically Endangered (20 percent certain, based on the evidence available)"	2	critically_endangered
wrw	Dormant ()	0?	dormant
gqi	"Endangered (100 percent certain, based on the evidence available)"	9677	endangered
gul	"Endangered (20 percent certain, based on the evidence available)"	300	endangered
kgs	"Severely Endangered (20 percent certain, based on the evidence available)"	40	severely_endangered
gdi	"Threatened (20 percent certain, based on the evidence available)"	"9,000"	threatened
xrd	Awakening ()		awakening
gyf	"Critically Endangered (20 percent certain, based on the evidence available)"	2	critically_endangered
kgl	"Severely Endangered (20 percent certain, based on the evidence available)"	~10	severely_endangered
gww	"Severely Endangered (60 percent certain, based on the evidence available)"	>50	severely_endangered
pue	Dormant ()	0	dormant
gyy	"Critically Endangered (20 percent certain, based on the evidence available)"	3	critically_endangered
grz	Dormant ()	0	dormant
hac	"Vulnerable (20 percent certain, based on the evidence available)"	"<100,000"	vulnerable
gnr	"Critically Endangered (20 percent certain, based on the evidence available)"	1	critically_endangered
grx	"Endangered (20 percent certain, based on the evidence available)"	<421	endangered
gue	"Endangered (20 percent certain, based on the evidence available)"	175	endangered
gvm	"Threatened (20 percent certain, based on the evidence available)"	">3,000"	threatened
gge	"Critically Endangered (20 percent certain, based on the evidence available)"	<20	critically_endangered
grd	"Vulnerable (20 percent certain, based on the evidence available)"		vulnerable
gsl	"Vulnerable (20 percent certain, based on the evidence available)"	10000	vulnerable
gbj	"Endangered (80 percent certain, based on the evidence available)"	"8,000"	endangered
kky	"Severely Endangered (80 percent certain, based on the evidence available)"	<20	severely_endangered
say-sig	"Threatened (20 percent certain, based on the evidence available)"	7000	threatened
xgw	Dormant ()	0	dormant
gwu	"Critically Endangered (20 percent certain, based on the evidence available)"	1	critically_endangered
gka	"Endangered (20 percent certain, based on the evidence available)"	130	endangered
bga	"Vulnerable (20 percent certain, based on the evidence available)"	"16,000"	vulnerable
grw	"Severely Endangered (20 percent certain, based on the evidence available)"	26	severely_endangered
gwe	"Threatened (20 percent certain, based on the evidence available)"	NA	threatened
gwi	"Severely Endangered (100 percent certain, based on the evidence available)"	550	severely_endangered
gyo	"Threatened (100 percent certain, based on the evidence available)"	300	threatened
gyi	"Endangered (40 percent certain, based on the evidence available)"	2200	endangered
gye	"Endangered (20 percent certain, based on the evidence available)"	100	endangered
hbu; habu1241	"Threatened (20 percent certain, based on the evidence available)"	"1,000"	threatened
	"Endangered (100 percent certain, based on the evidence available)"	"<8,000"	endangered
hts	"Threatened (40 percent certain, based on the evidence available)"	950	threatened
aek	"Severely Endangered (20 percent certain, based on the evidence available)"	100	severely_endangered
hah	"Vulnerable (100 percent certain, based on the evidence available)"	"~3,000"	vulnerable
haf	"Endangered (40 percent certain, based on the evidence available)"	~1800	endangered
cnh	"Threatened (80 percent certain, based on the evidence available)"		threatened
amf	"Vulnerable (20 percent certain, based on the evidence available)"	"42,800"	vulnerable
haa	"Critically Endangered (80 percent certain, based on the evidence available)"	9	critically_endangered
hag	"Threatened (20 percent certain, based on the evidence available)"	"6,800"	threatened
csz	Dormant ()	0	dormant
hab	"Endangered (40 percent certain, based on the evidence available)"	39000	endangered
"hug, amr"	"Endangered (80 percent certain, based on the evidence available)"	"Est. 1,000"	endangered
scs-har	"Severely Endangered (20 percent certain, based on the evidence available)"	75	severely_endangered
hss	"Endangered (20 percent certain, based on the evidence available)"	~700	endangered
tmd	"Endangered (20 percent certain, based on the evidence available)"	100	endangered
hrz	"Vulnerable (20 percent certain, based on the evidence available)"	"28,100"	vulnerable
ybj	"Endangered (20 percent certain, based on the evidence available)"	~400	endangered
had	"Vulnerable (20 percent certain, based on the evidence available)"	"16,000"	vulnerable
hsl			
hvk	"Endangered (20 percent certain, based on the evidence available)"	300	endangered
hps	"Critically Endangered (80 percent certain, based on the evidence available)"	30	critically_endangered
haw	"Severely Endangered (100 percent certain, based on the evidence available)"	~300	severely_endangered
hvn	"At risk (20 percent certain, based on the evidence available)"	"100,000"	at_risk
hei	"Critically Endangered (80 percent certain, based on the evidence available)"	26	critically_endangered
scp	"Threatened (100 percent certain, based on the evidence available)"	9842	threatened
heg; helo1243	"Threatened (100 percent certain, based on the evidence available)"	"14,000"	threatened
her	"Vulnerable (20 percent certain, based on the evidence available)"	"~24,500"	vulnerable
ham	"Threatened (20 percent certain, based on the evidence available)"	"2,000"	threatened
auk	"Threatened (40 percent certain, based on the evidence available)"	"< 1,824"	threatened
hid	"Critically Endangered (80 percent certain, based on the evidence available)"	~100	critically_endangered
chd	"Threatened (20 percent certain, based on the evidence available)"	"3,413"	threatened
"qvj, qud; qxr, qug, qvi, qvz, qxj, quw, qvo"	"Vulnerable (80 percent certain, based on the evidence available)"	"1,153,800"	vulnerable
hij	"Endangered (20 percent certain, based on the evidence available)"	400	endangered
	"Threatened (60 percent certain, based on the evidence available)"	"~10,000"	threatened
hir		NA	
dhm	"Vulnerable (60 percent certain, based on the evidence available)"	"30,000"	vulnerable
hii	"Endangered (20 percent certain, based on the evidence available)"	138	endangered
gin	"Endangered (20 percent certain, based on the evidence available)"	~600	endangered
hiw	"Endangered (40 percent certain, based on the evidence available)"	120	endangered
hix	"Endangered (20 percent certain, based on the evidence available)"	600	endangered
sxr	"Critically Endangered (100 percent certain, based on the evidence available)"	10	critically_endangered
hle	"Vulnerable (100 percent certain, based on the evidence available)"	~15000	vulnerable
hmr	"Vulnerable (60 percent certain, based on the evidence available)"	"83,404"	vulnerable
mrk	"Endangered (20 percent certain, based on the evidence available)"	300	endangered
hoc			
hos	"Endangered (40 percent certain, based on the evidence available)"	"~45,000"	endangered
hoa	"Threatened (60 percent certain, based on the evidence available)"	"~2,360"	threatened
hoh	"Endangered (20 percent certain, based on the evidence available)"	400	endangered
hoi	Dormant ()	0	dormant
hoo	"Vulnerable (100 percent certain, based on the evidence available)"		vulnerable
1ev	"Vulnerable (20 percent certain, based on the evidence available)"	NA	vulnerable
len	Dormant ()	0	dormant
hds	"Threatened (60 percent certain, based on the evidence available)"		threatened
juh	"Severely Endangered (60 percent certain, based on the evidence available)"	"~7,000"	severely_endangered
hks	"Threatened (20 percent certain, based on the evidence available)"	"9,000"	threatened
hop	"Threatened (20 percent certain, based on the evidence available)"	"5,000+"	threatened
hoe	"Vulnerable (60 percent certain, based on the evidence available)"	"<1,500"	vulnerable
ero	"Vulnerable (20 percent certain, based on the evidence available)"	"45,000"	vulnerable
hti; hoti1237	"Critically Endangered (100 percent certain, based on the evidence available)"	10	critically_endangered
hoz	"Threatened (20 percent certain, based on the evidence available)"	"3,000"	threatened
hpo	Dormant 	0	dormant
hru	"Threatened (20 percent certain, based on the evidence available)"	"<3,000"	threatened
huo	"Endangered (40 percent certain, based on the evidence available)"	~700	endangered
qub	"Vulnerable (60 percent certain, based on the evidence available)"	"40,000"	vulnerable
hub	"Threatened (20 percent certain, based on the evidence available)"	"8,000"	threatened
"hsf, hus, hva"	"Threatened (20 percent certain, based on the evidence available)"	"1,700"	threatened
"hve, hue, huv, hvv"	"Vulnerable (20 percent certain, based on the evidence available)"	10000	vulnerable
qwh	"Vulnerable (60 percent certain, based on the evidence available)"	"336,000"	vulnerable
tee	"Threatened (20 percent certain, based on the evidence available)"	"3,000"	threatened
hch	"Vulnerable (20 percent certain, based on the evidence available)"	"35,724"	vulnerable
huh			
huw	"Critically Endangered (80 percent certain, based on the evidence available)"	1	critically_endangered
huy	"Threatened (20 percent certain, based on the evidence available)"	"~9,500"	threatened
huk; hulu1246	"Critically Endangered (100 percent certain, based on the evidence available)"	10	critically_endangered
hur	"Severely Endangered (80 percent certain, based on the evidence available)"	105	severely_endangered
hnu	"Endangered (40 percent certain, based on the evidence available)"	<500	endangered
nat	"Threatened (20 percent certain, based on the evidence available)"	"~5,000"	threatened
huz	"Endangered (60 percent certain, based on the evidence available)"	600	endangered
hup			
jup	"Threatened (20 percent certain, based on the evidence available)"	1500	threatened
mjg-huz	"Endangered (100 percent certain, based on the evidence available)"	50000	endangered
