ISO6393	Status	Pop.Size	simp.status
aad	"Endangered (20 percent certain, based on the evidence available)"	388	endangered
"kzg, xug, ryn, okn, ams, tkn, yox"	"Severely Endangered (100 percent certain, based on the evidence available)"	"~37,000"	severely_endangered
amn	"Threatened (20 percent certain, based on the evidence available)"	"3,500"	threatened
ama			
aie	"Endangered (100 percent certain, based on the evidence available)"	<231	endangered
aaz	"Vulnerable (20 percent certain, based on the evidence available)"	"70,000"	vulnerable
"amat1238, coat1244"			
aew	"Endangered (80 percent certain, based on the evidence available)"	770	endangered
ael	"Vulnerable (100 percent certain, based on the evidence available)"	"3,600"	vulnerable
"abt, wos"	"Vulnerable (20 percent certain, based on the evidence available)"	"33,000"	vulnerable
amj	"Threatened (60 percent certain, based on the evidence available)"		threatened
aqd	"Threatened (20 percent certain, based on the evidence available)"	"5,200"	threatened
law-amp	"Threatened (40 percent certain, based on the evidence available)"	"6,000"	threatened
amt	"Endangered (20 percent certain, based on the evidence available)"	230	endangered
ame			
1ot	"Severely Endangered (80 percent certain, based on the evidence available)"	<500	severely_endangered
amg	"Critically Endangered (20 percent certain, based on the evidence available)"	NA	critically_endangered
anw	"Vulnerable (40 percent certain, based on the evidence available)"	"733,040"	vulnerable
akg	"Vulnerable (20 percent certain, based on the evidence available)"	">25,000"	vulnerable
anm	"Endangered (40 percent certain, based on the evidence available)"		endangered
pda	"Threatened (20 percent certain, based on the evidence available)"	"1,070"	threatened
aan	Dormant ()	NA	dormant
ajn	"Critically Endangered (20 percent certain, based on the evidence available)"	2	critically_endangered
aod	"Endangered (20 percent certain, based on the evidence available)"	830	endangered
mrp	"Endangered (20 percent certain, based on the evidence available)"	500	endangered
ani	"Vulnerable (60 percent certain, based on the evidence available)"	10000	vulnerable
bzb	"Threatened (40 percent certain, based on the evidence available)"	"1,700"	threatened
anb	Dormant ()	NA	dormant
ano			
	"Endangered (20 percent certain, based on the evidence available)"	900	endangered
anz	"Endangered (20 percent certain, based on the evidence available)"	843	endangered
myo	"Endangered (20 percent certain, based on the evidence available)"	~500	endangered
aqt	"Severely Endangered (100 percent certain, based on the evidence available)"	780	severely_endangered
agg	"Threatened (20 percent certain, based on the evidence available)"	"1,250"	threatened
"aog, myd"	"Threatened (20 percent certain, based on the evidence available)"	"6,514"	threatened
blo	"Vulnerable (100 percent certain, based on the evidence available)"	"<25,000"	vulnerable
anf	"Severely Endangered (60 percent certain, based on the evidence available)"	30	severely_endangered
aoi	"Threatened (20 percent certain, based on the evidence available)"	"~1,500"	threatened
amx	"Threatened (80 percent certain, based on the evidence available)"	501	threatened
nun	"Critically Endangered (100 percent certain, based on the evidence available)"	~ 4040	critically_endangered
anj	"Endangered (20 percent certain, based on the evidence available)"	450	endangered
ant	"Severely Endangered (20 percent certain, based on the evidence available)"	50	severely_endangered
adg	"Critically Endangered (20 percent certain, based on the evidence available)"	NA	critically_endangered
aui	"Threatened (80 percent certain, based on the evidence available)"	574	threatened
auq; anus1237	"Endangered (20 percent certain, based on the evidence available)"	320	endangered
aud	"Endangered (20 percent certain, based on the evidence available)"	340	endangered
aor	Dormant 	0	dormant
kbx	"Threatened (20 percent certain, based on the evidence available)"	"6,500"	threatened
apy	"Endangered (20 percent certain, based on the evidence available)"	317	endangered
apt	"Vulnerable (20 percent certain, based on the evidence available)"	"~14,000"	vulnerable
api	Dormant ()	NA	dormant
apn			
apu	"Endangered (60 percent certain, based on the evidence available)"	~400	endangered
apx	"Endangered (20 percent certain, based on the evidence available)"	150	endangered
ard	Dormant ()	0	dormant
arl	"Critically Endangered (100 percent certain, based on the evidence available)"	30	critically_endangered
arg	"Endangered (60 percent certain, based on the evidence available)"	"<10,000"	endangered
akr	"Critically Endangered (100 percent certain, based on the evidence available)"	15	critically_endangered
aaf	"Endangered (20 percent certain, based on the evidence available)"	200	endangered
aro			
arp	"Severely Endangered (100 percent certain, based on the evidence available)"	"~1,000"	severely_endangered
arj	Dormant ()	0	dormant
axg			
awt	"Endangered (20 percent certain, based on the evidence available)"	339	endangered
awm; araw1272	"Severely Endangered (20 percent certain, based on the evidence available)"	73	severely_endangered
aae	"Vulnerable (60 percent certain, based on the evidence available)"	"<100,000"	vulnerable
arv	"Threatened (20 percent certain, based on the evidence available)"	"4,441"	threatened
aqc	"Threatened (20 percent certain, based on the evidence available)"	"1,237"	threatened
aem	"Critically Endangered (40 percent certain, based on the evidence available)"	<100	critically_endangered
aed		NA	
agj	"Vulnerable (20 percent certain, based on the evidence available)"	"10,860"	vulnerable
agf	"Endangered (20 percent certain, based on the evidence available)"	150	endangered
aqr	"Severely Endangered (20 percent certain, based on the evidence available)"	35	severely_endangered
aok	"Severely Endangered (20 percent certain, based on the evidence available)"	62	severely_endangered
aac	"Severely Endangered (20 percent certain, based on the evidence available)"	50	severely_endangered
aea	"Critically Endangered (20 percent certain, based on the evidence available)"	2	critically_endangered
aai	"Threatened (20 percent certain, based on the evidence available)"	"3,470"	threatened
ark	"Critically Endangered (20 percent certain, based on the evidence available)"	1	
	critically_endangered		
ari	"Critically Endangered (80 percent certain, based on the evidence available)"	<10	critically_endangered
rup	"Threatened (80 percent certain, based on the evidence available)"	"350,000"	threatened
atz	"Critically Endangered (80 percent certain, based on the evidence available)"	11	critically_endangered
alx	"Endangered (60 percent certain, based on the evidence available)"	270	endangered
arx	"Critically Endangered (80 percent certain, based on the evidence available)"	5	critically_endangered
msy	"Threatened (20 percent certain, based on the evidence available)"	"5,350"	threatened
aur	"Endangered (20 percent certain, based on the evidence available)"	614	endangered
lsr	"Endangered (60 percent certain, based on the evidence available)"	700	endangered
"atx, arut1244"	"Critically Endangered (100 percent certain, based on the evidence available)"	5	critically_endangered
aat	"Vulnerable (20 percent certain, based on the evidence available)"	"50,000"	vulnerable
asz; asss1237	"Critically Endangered (100 percent certain, based on the evidence available)"	NA	critically_endangered
seo	"Threatened (60 percent certain, based on the evidence available)"	145	threatened
cni			
"cpc, cjo, prq, cpu, cpy, cpb"			
adi-ash	"Endangered (20 percent certain, based on the evidence available)"	"<1,000"	endangered
ask	"Threatened (20 percent certain, based on the evidence available)"	"<7,000"	threatened
atn	"Vulnerable (20 percent certain, based on the evidence available)"	"21,100"	vulnerable
08a	"Endangered (20 percent certain, based on the evidence available)"		endangered
